代码,名称,市场
601668,中国建筑,上证主板
601888,中国中免,上证主板
601601,中国太保,上证主板
601328,交通银行,上证主板
601988,中国银行,上证主板
601628,中国人寿,上证主板
600837,海通证券,上证主板
600519,贵州茅台,上证主板
600919,江苏银行,上证主板
600000,浦发银行,上证主板
601211,国泰君安,上证主板
601398,工商银行,上证主板
601012,隆基绿能,上证主板
600585,海螺水泥,上证主板
600104,上汽集团,上证主板
600028,中国石化,上证主板
601899,紫金矿业,上证主板
601998,中信银行,上证主板
600029,南方航空,上证主板
600887,伊利股份,上证主板
600745,闻泰科技,上证主板
601318,中国平安,上证主板
601857,中国石油,上证主板
600900,长江电力,上证主板
600309,万华化学,上证主板
601818,光大银行,上证主板
600809,山西汾酒,上证主板
601919,中远海控,上证主板
600050,中国联通,上证主板
600030,中信证券,上证主板
600690,海尔智家,上证主板
600196,复星医药,上证主板
601088,中国神华,上证主板
601186,中国铁建,上证主板
601288,农业银行,上证主板
600276,恒瑞医药,上证主板
601166,兴业银行,上证主板
600036,招商银行,上证主板
601688,华泰证券,上证主板
000333,美的集团,深证主板
000651,格力电器,深证主板
002475,立讯精密,深证主板
000413,东旭光电,深证主板
000776,广发证券,深证主板
000895,双汇发展,深证主板
002236,大华股份,深证主板
000858,五粮液,深证主板
000538,云南白药,深证主板
000338,潍柴动力,深证主板
002714,牧原股份,深证主板
000938,紫光股份,深证主板
002241,歌尔股份,深证主板
002001,新和成,深证主板
000063,中兴通讯,深证主板
000002,万科A,深证主板
002304,洋河股份,深证主板
000001,平安银行,深证主板
000568,泸州老窖,深证主板
002024,苏宁易购,深证主板
000402,金融街,深证主板
000963,华东医药,深证主板
000961,中南建设,深证主板
002027,分众传媒,深证主板
000725,京东方A,深证主板
000768,中航西飞,深证主板
002032,苏泊尔,深证主板
002230,科大讯飞,深证主板
002352,顺丰控股,深证主板
002594,比亚迪,深证主板
002271,东方雨虹,深证主板
000157,中联重科,深证主板
000596,古井贡酒,深证主板
002415,海康威视,深证主板
000876,新希望,深证主板
002410,广联达,深证主板
002142,宁波银行,深证主板
000069,华侨城A,深证主板
002007,华兰生物,深证主板
000100,TCL科技,深证主板
000661,长春高新,深证主板
000066,中国长城,深证主板
000425,徐工机械,深证主板
000423,东阿阿胶,深证主板
000786,北新建材,深证主板
000703,恒逸石化,深证主板
000625,长安汽车,深证主板
000708,中信特钢,深证主板
002050,三花智控,深证主板
300357,我武生物,创业板
300413,芒果超媒,创业板
300633,开立医疗,创业板
300677,英科医疗,创业板
300699,光威复材,创业板
300014,亿纬锂能,创业板
300212,易华录,创业板
300454,深信服,创业板
300498,温氏股份,创业板
300015,爱尔眼科,创业板
300059,东方财富,创业板
300433,蓝思科技,创业板
300316,晶盛机电,创业板
300558,贝达药业,创业板
300679,电连技术,创业板
300616,尚品宅配,创业板
300759,康龙化成,创业板
300122,智飞生物,创业板
300144,宋城演艺,创业板
300661,圣邦股份,创业板
300760,迈瑞医疗,创业板
300782,卓胜微,创业板
300142,沃森生物,创业板
300285,国瓷材料,创业板
300363,博腾股份,创业板
300226,上海钢联,创业板
300347,泰格医药,创业板
300003,乐普医疗,创业板
300124,汇川技术,创业板
300146,汤臣倍健,创业板
300223,北京君正,创业板
300601,康泰生物,创业板
300408,三环集团,创业板
300529,健帆生物,创业板
300628,亿联网络,创业板
300070,碧水源,创业板
300271,华宇软件,创业板
300133,华策影视,创业板
300496,中科创达,创业板
300595,欧普康视,创业板
300750,宁德时代,创业板
300274,阳光电源,创业板
300450,先导智能,创业板
300033,同花顺,创业板
